"stop_id";"stop_name";"stop_desc";"stop_lat";"stop_lon";"trip_id";"arrival_time";"departure_time";"stop_sequence";"route_id";"service_id";"trip_headsign";"trip_short_name";"direction_id";"route_short_name";"route_long_name";"route_type"
1752;"Porte des Lilas";"Rue de Belleville - 75120";48,8769382235089;2,40637656692978;10022802780651520;59460;59460;1;708898;2280278;"101";101;0;"3B";"(PORTE DES LILAS <-> GAMBETTA) - Aller";1
1718;"Saint-Fargeau";"112 avenue Gambetta - 75120";48,8716998109711;2,40429872420218;10022802780651520;59580;59580;2;708898;2280278;"101";101;0;"3B";"(PORTE DES LILAS <-> GAMBETTA) - Aller";1
1783;"Pelleport";"Paul Signac (place, en face du 125 avenue Gambetta) - 75120";48,8682233476073;2,4013243805441;10022802780651520;59640;59640;3;708898;2280278;"101";101;0;"3B";"(PORTE DES LILAS <-> GAMBETTA) - Aller";1
1659;"Gambetta";"Père-Lachaise - 75120";48,8650342980182;2,39854148691224;10022802780651520;59700;59700;4;708898;2280278;"101";101;0;"3B";"(PORTE DES LILAS <-> GAMBETTA) - Aller";1
1752;"Porte des Lilas";"Rue de Belleville - 75120";48,8769382235089;2,40637656692978;18022802790651520;74160;74160;1;708899;2280279;"201";201;1;"3B";"(PORTE DES LILAS <-> GAMBETTA) - Retour";1
1718;"Saint-Fargeau";"112 avenue Gambetta - 75120";48,8716998109711;2,40429872420218;18022802790651520;74220;74220;2;708899;2280279;"201";201;1;"3B";"(PORTE DES LILAS <-> GAMBETTA) - Retour";1
1783;"Pelleport";"Paul Signac (place, en face du 125 avenue Gambetta) - 75120";48,8682233476073;2,4013243805441;18022802790651520;74280;74280;3;708899;2280279;"201";201;1;"3B";"(PORTE DES LILAS <-> GAMBETTA) - Retour";1
1659;"Gambetta";"Père-Lachaise - 75120";48,8650342980182;2,39854148691224;18022802790651520;74340;74340;4;708899;2280279;"201";201;1;"3B";"(PORTE DES LILAS <-> GAMBETTA) - Retour";1
1875;"Mairie des Lilas";"Place du Colonel Fabien - 93045";48,8800510617727;2,41566020606423;10022803820912408;51480;51480;1;1197616;2280382;"102";102;0;"11";"(MAIRIE DES LILAS <-> CHATELET) - Aller";1
1753;"Porte des Lilas";"Rue de Belleville - 75120";48,8772347166956;2,40652684304809;10022803820912408;51600;51600;2;1197616;2280382;"102";102;0;"11";"(MAIRIE DES LILAS <-> CHATELET) - Aller";1
1682;"Télégraphe";"Rue de Belleville - 75120";48,8755224492457;2,39867651114495;10022803820912408;51660;51660;3;1197616;2280382;"102";102;0;"11";"(MAIRIE DES LILAS <-> CHATELET) - Aller";1
1798;"Place des Fêtes";"Rue de Crimée - 75119";48,8767294689067;2,39314603176784;10022803820912408;51720;51720;4;1197616;2280382;"102";102;0;"11";"(MAIRIE DES LILAS <-> CHATELET) - Aller";1
1905;"Jourdain";"7 rue du Jourdain - 75120";48,875248294625;2,38932943415264;10022803820912408;51780;51780;5;1197616;2280382;"102";102;0;"11";"(MAIRIE DES LILAS <-> CHATELET) - Aller";1
1758;"Pyrénées";"401 rue des Pyrénées - 75120";48,8738211723367;2,3848863721979;10022803820912408;51840;51840;6;1197616;2280382;"102";102;0;"11";"(MAIRIE DES LILAS <-> CHATELET) - Aller";1
2066;"Belleville";"Terre-plein face au 1 boulevard de la Villette - 75119";48,8719457979749;2,3767510413738;10022803820912408;51960;51960;7;1197616;2280382;"102";102;0;"11";"(MAIRIE DES LILAS <-> CHATELET) - Aller";1
1963;"Goncourt (Hôpital Saint-Louis)";"152 avenue Parmentier - 75110";48,870015355247;2,37076879902147;10022803820912408;52020;52020;8;1197616;2280382;"102";102;0;"11";"(MAIRIE DES LILAS <-> CHATELET) - Aller";1
967988;"République";"Av de la République - 75111";48,8672401853613;2,36305644594524;10022803820912408;52080;52080;9;1197616;2280382;"102";102;0;"11";"(MAIRIE DES LILAS <-> CHATELET) - Aller";1
2051;"Arts-et-Métiers";"Rue des Vertus - 75103";48,8653811760469;2,35564493120688;10022803820912408;52140;52140;10;1197616;2280382;"102";102;0;"11";"(MAIRIE DES LILAS <-> CHATELET) - Aller";1
1761;"Rambuteau";"Centre Georges Pompidou - 75104";48,8611933956416;2,35328695987071;10022803820912408;52260;52260;11;1197616;2280382;"102";102;0;"11";"(MAIRIE DES LILAS <-> CHATELET) - Aller";1
1893;"Hôtel de Ville";"Rue du Renard - 75104";48,8578053731363;2,35146077651356;10022803820912408;52320;52320;12;1197616;2280382;"102";102;0;"11";"(MAIRIE DES LILAS <-> CHATELET) - Aller";1
1965;"Châtelet";"Théâtre du Châtelet - 75101";48,8588572843814;2,34776985674268;10022803820912408;52380;52380;13;1197616;2280382;"102";102;0;"11";"(MAIRIE DES LILAS <-> CHATELET) - Aller";1
1875;"Mairie des Lilas";"Place du Colonel Fabien - 93045";48,8800510617727;2,41566020606423;36122803860912408;82020;82020;1;1197617;2280386;"202";202;1;"11";"(MAIRIE DES LILAS <-> CHATELET) - Retour";1
1753;"Porte des Lilas";"Rue de Belleville - 75120";48,8772347166956;2,40652684304809;36122803860912408;82080;82080;2;1197617;2280386;"202";202;1;"11";"(MAIRIE DES LILAS <-> CHATELET) - Retour";1
1682;"Télégraphe";"Rue de Belleville - 75120";48,8755224492457;2,39867651114495;36122803860912408;82200;82200;3;1197617;2280386;"202";202;1;"11";"(MAIRIE DES LILAS <-> CHATELET) - Retour";1
1798;"Place des Fêtes";"Rue de Crimée - 75119";48,8767294689067;2,39314603176784;36122803860912408;82260;82260;4;1197617;2280386;"202";202;1;"11";"(MAIRIE DES LILAS <-> CHATELET) - Retour";1
1905;"Jourdain";"7 rue du Jourdain - 75120";48,875248294625;2,38932943415264;36122803860912408;82320;82320;5;1197617;2280386;"202";202;1;"11";"(MAIRIE DES LILAS <-> CHATELET) - Retour";1
1758;"Pyrénées";"401 rue des Pyrénées - 75120";48,8738211723367;2,3848863721979;36122803860912408;82380;82380;6;1197617;2280386;"202";202;1;"11";"(MAIRIE DES LILAS <-> CHATELET) - Retour";1
2066;"Belleville";"Terre-plein face au 1 boulevard de la Villette - 75119";48,8719457979749;2,3767510413738;36122803860912408;82440;82440;7;1197617;2280386;"202";202;1;"11";"(MAIRIE DES LILAS <-> CHATELET) - Retour";1
1963;"Goncourt (Hôpital Saint-Louis)";"152 avenue Parmentier - 75110";48,870015355247;2,37076879902147;36122803860912408;82500;82500;8;1197617;2280386;"202";202;1;"11";"(MAIRIE DES LILAS <-> CHATELET) - Retour";1
967988;"République";"Av de la République - 75111";48,8672401853613;2,36305644594524;36122803860912408;82560;82560;9;1197617;2280386;"202";202;1;"11";"(MAIRIE DES LILAS <-> CHATELET) - Retour";1
2051;"Arts-et-Métiers";"Rue des Vertus - 75103";48,8653811760469;2,35564493120688;36122803860912408;82680;82680;10;1197617;2280386;"202";202;1;"11";"(MAIRIE DES LILAS <-> CHATELET) - Retour";1
1761;"Rambuteau";"Centre Georges Pompidou - 75104";48,8611933956416;2,35328695987071;36122803860912408;82740;82740;11;1197617;2280386;"202";202;1;"11";"(MAIRIE DES LILAS <-> CHATELET) - Retour";1
