from_stop_id;to_stop_id;weight
2035;2067;2
2067;1725;1
1725;1751;2
1751;1832;1
1832;1698;2
1698;1955;2
1955;2062;2
2062;1642;2
1642;1892;2
1892;2036;1
2036;1864;1
1864;1773;1
1773;1688;1
1688;1980;2
1980;2083;1
2083;1945;2
1945;1961;1
1961;2028;1
2028;2048;2
2048;1755;1
1755;1856;2
1856;1803;2
1803;1933;1
1933;1887;3
1833;2058;1
2058;2041;1
2041;1788;2
1788;1784;1
1784;1812;1
1812;2079;1
2079;2087;2
2087;1978;1
1978;1900;1
1900;1674;2
1674;1910;1
1910;2086;2
2086;2046;1
2046;1791;1
1791;2071;1
2071;1795;2
1795;1707;1
1707;1629;2
1629;1822;1
1822;1989;1
1989;1684;1
1684;2029;2
2029;1694;1
1694;1736;3
1833;2058;2
2041;1788;1
1784;1812;2
2079;2087;1
2087;1978;2
1900;1674;1
1674;1910;2
1910;2086;1
2086;2046;2
2071;1795;1
1795;1707;2
1707;1629;1
1822;1989;2
1684;2029;1
2029;1694;2
1694;1736;2
1949;1737;2
1737;1950;1
1950;1785;2
1785;1728;1
1728;1779;1
1779;1766;2
1766;1683;1
1683;2050;1
2050;1765;1
1765;1662;1
1662;2007;1
2007;1760;2
1760;1846;1
1846;1889;1
1889;1722;1
1722;1935;2
1935;1630;1
1630;1881;2
1881;1634;1
1634;1786;1
1786;1738;1
1738;1862;1
1862;2044;2
2044;1802;1
2341;2163;2
2163;2329;1
2329;2416;1
2416;2396;2
2396;2514;1
2514;2277;1
2277;2510;1
2510;2260;2
2260;2467;1
2467;2285;2
2285;2313;1
2313;2438;1
2438;2196;1
2196;2542;1
2542;2375;1
2375;2099;2
2099;2493;1
2493;2376;1
2376;2389;1
2389;2471;2
2471;2395;1
2395;2205;2
2205;2415;1
2415;2204;2
1752;1718;2
1718;1783;1
1783;1659;1
1752;1718;1
1742;1668;1
1668;1655;1
1655;2033;1
2033;2061;1
2061;1957;2
1957;1953;1
1953;2034;1
2034;1677;1
1677;1764;1
1764;1934;1
1934;1855;2
1855;1964;1
1964;1975;1
1975;1729;1
1729;1845;1
1845;1721;1
1721;1733;1
1733;1731;2
1731;1824;1
1824;1692;1
1692;1645;1
1645;1996;1
1996;1828;2
1828;2040;1
2040;1735;1
1735;4028973;2
2089;2072;3
2072;1932;2
1932;1891;1
1891;1746;2
1746;1772;1
1772;1922;2
1922;1901;1
1901;1675;1
1675;1958;2
1958;2076;2
2076;1898;2
1898;1767;2
1767;1843;1
1843;1700;1
1700;2008;2
2008;2063;1
2063;1759;2
1759;1951;1
1951;1641;2
1641;2017;1
2017;1793;3
2403;2136;1
2136;2521;1
2521;2206;2
2206;2437;1
2437;2112;2
2112;2164;1
2164;2445;2
2445;2310;1
2310;2377;2
2377;2294;1
2294;2125;2
2125;2213;2
2213;2485;2
2485;2297;1
2297;2247;1
2247;2382;1
2382;2424;2
2424;2287;1
2287;2257;2
2257;2121;2
2121;2550;4
1834;1789;1
1789;2065;1
2065;2081;2
2081;2082;1
2082;2068;1
2068;1644;1
1644;1974;1
1974;1836;1
1836;1794;1
1794;1987;2
1987;1962;1
1962;1640;1
1640;1997;2
1997;1763;1
1763;1930;1
1930;1825;1
1825;1781;2
1781;1665;1
1665;2016;1
2016;1657;1
1657;1926;1
1926;2069;1
2069;1780;1
1780;1687;2
1687;2073;1
2073;1909;1
1909;2030;2
1834;1789;2
2065;2081;1
2068;1644;2
1794;1987;1
1987;1962;2
1640;1997;1
1930;1825;2
1825;1781;1
1657;1926;2
1780;1687;1
1911;1944;2
1944;2055;2
2055;1744;2
1744;1985;2
1985;2080;1
2080;1703;1
1703;1676;1
1676;1860;1
1860;2085;2
2085;1954;1
1954;1800;2
1800;2015;1
2015;1849;1
1849;1971;1
1971;1847;2
1847;1757;2
1757;1774;1
1774;1806;1
1806;1966;2
1966;1805;1
1805;1681;1
1681;1907;2
1907;1649;1
1649;2020;1
2020;1854;2
1854;1648;1
1648;1685;1
1685;1876;1
1876;1925;2
1925;1639;2
1639;1696;1
1696;1695;2
1876;1808;2
1808;1740;1
1740;1734;1
1734;1790;1
1790;1871;2
2301;2400;2
2400;2412;2
2412;2418;1
2418;2347;1
2347;2272;2
2272;2495;1
2495;2528;1
2528;2321;2
2321;2139;1
2139;2529;1
2529;2232;2
2232;2491;1
2491;2344;2
2344;2221;1
2221;2345;1
2345;2384;2
2384;2435;1
2435;2314;2
2314;2226;1
2226;2316;2
2316;2134;1
2134;2373;1
2373;2209;1
2209;2546;2
2546;2327;1
2327;2486;1
2486;2448;2
2448;2093;1
2093;2175;1
2175;2422;1
2422;2104;2
2104;2199;2
2199;2236;2
1756;1635;1
1635;2002;2
2002;2013;1
2013;2075;1
2075;1902;1
1902;1861;2
1756;1797;2
1797;2002;1
3343334;3343336;1
